#{"t_start": 1784708786.6030405, "env_id": "LunarLander-v3"}
r,l,t
-261.610278,82,20.08492
-84.887261,93,27.734207
-114.959092,66,27.946593
-67.17924,102,28.231849
-177.04195,82,28.456017
-82.165081,139,28.827093
-123.760777,89,29.074262
-307.715399,97,29.350029
-1.866383,83,29.573633
-93.798071,57,29.735158
-176.737966,133,30.140571
-82.998837,137,33.022003
-87.309145,92,33.284998
-420.801634,87,33.524552
-85.55265,61,33.701699
-82.185131,93,33.942213
-306.568541,76,34.154997
-118.469852,82,34.41442
-111.330198,94,34.7651
-28.501389,73,35.02633
-151.065251,119,35.38819
-100.392335,82,35.61221
-143.181636,94,38.27582
-214.108449,103,38.550282
-127.582921,76,38.738464
-114.420197,76,38.942732
-105.712322,85,39.211396
-99.182378,151,39.626867
-113.428162,114,39.941887
-135.289328,93,40.219221
-87.572697,137,40.646278
-32.137009,129,43.554653
-54.352505,70,43.783241
-118.007272,128,44.133177
-142.022757,87,44.402905
-57.813732,85,44.650723
-7.246304,132,45.014364
-24.592506,101,45.304678
-130.236277,86,45.574533
-198.421823,99,45.894629
-67.444801,102,46.204568
-93.616774,101,46.502441
-63.301048,65,49.181186
-119.904045,88,49.491088
-244.150964,139,49.981274
-212.519223,88,50.34424
-77.235887,73,50.818543
-257.463408,118,51.427789
-172.765394,126,52.058971
-89.782383,94,52.535552
-83.849839,86,52.992642
-75.616736,74,53.357465
-97.813199,80,53.729841
-72.118002,80,60.316588
-238.115537,124,60.971419
-53.958791,89,61.383805
-148.872281,119,62.003603
-131.03837,123,62.637599
-102.049337,119,63.212961
-197.276955,134,63.88717
-276.00379,127,64.544352
-65.453434,103,65.052058
-85.821684,110,72.003109
-151.51993,103,72.49725
-75.006594,74,72.868639
-210.798631,133,73.530874
-58.672368,70,73.877927
-107.999885,121,74.457207
-268.842269,146,75.184011
-65.348073,120,75.79604
-80.485811,66,76.130569
-295.313412,166,83.667757
-36.191378,74,84.044953
-132.207149,120,84.642896
-68.964721,88,85.128304
-19.161011,106,85.681667
-95.964949,118,86.29847
-123.671361,94,86.768806
-77.80469,72,87.132101
-125.097772,109,87.681329
-107.600713,83,88.072145
-48.231155,91,88.515007
-102.930892,74,95.344436
-115.707919,88,95.789727
-160.802474,117,96.412445
-186.420353,133,97.078552
-81.848652,96,97.568059
-198.4543,111,98.140216
-136.661715,131,98.815698
-65.155182,71,99.167515
-89.752943,153,99.935144
-119.970121,96,106.768309
-124.611985,102,107.284914
-51.42754,89,107.760692
-56.515146,107,108.295097
-113.566817,77,108.681582
-100.961577,100,109.18131
-230.355977,102,109.671114
-77.608051,68,110.060091
-291.037743,131,110.918831
-40.784015,148,111.712065
13.819954,1000,123.770658
-20.002924,91,130.557077
-63.569344,109,131.149269
-95.014344,104,131.68646
-105.950183,77,132.112042
-10.596569,122,132.712208
-60.986545,120,133.33115
-30.650818,72,133.68373
-50.205065,148,134.426477
-34.781944,100,134.912443
-63.978588,136,135.596096
-18.016912,100,141.832663
-72.05571,81,142.166242
-49.598945,111,142.558006
-43.85097,122,142.937623
-13.489247,151,143.384666
-110.8909,129,143.765056
-80.213119,171,144.318129
-30.54039,82,144.586382
-45.292356,121,147.622009
-23.35418,87,147.903237
-48.430069,130,148.372217
-44.257672,127,148.803065
-284.580174,711,153.561244
-60.188332,142,153.973
-179.242819,137,154.398014
29.128009,101,154.763732
-32.681648,113,155.137649
-27.685251,86,155.393949
-15.986975,110,155.75315
-128.814619,212,156.541746
-26.700933,132,163.819837
-0.264251,160,164.609455
-31.03997,141,165.367851
-8.735323,139,166.069487
-22.806334,151,166.877416
-11.592881,118,167.507967
-38.069367,125,168.135446
-63.828641,107,168.678939
-46.838626,163,176.178472
0.840602,134,176.901353
42.171972,179,177.899321
-16.341079,146,178.684878
-57.005085,149,179.468427
46.380397,157,180.276669
-70.620166,134,187.534871
-17.213527,155,188.398598
-41.344782,281,189.837265
-26.05881,142,190.593376
14.335831,128,191.268185
-9.335286,117,191.849734
-13.640768,176,192.778497
-1.87691,174,200.163882
35.135201,146,201.015808
-83.406675,203,202.122833
46.345466,169,203.039088
-52.617267,162,203.667299
75.878225,1000,209.83152
2.009336,111,210.161134
10.781101,120,212.991569
-6.577946,146,213.412356
-7.731382,152,213.797016
37.215164,1000,219.108327
13.78884,167,219.604699
63.656515,1000,225.480893
113.771075,1000,231.019158
63.549542,1000,236.651361
29.135957,214,249.796328
18.356964,206,250.371195
-2.618687,212,251.037178
-53.163798,197,254.278022
-96.097609,145,254.745459
-157.272197,184,255.362494
93.34573,1000,260.942353
140.228083,1000,267.164233
109.481993,1000,278.642702
6.680394,1000,289.814053
66.517932,1000,301.072694
103.701256,1000,312.248691
133.555768,1000,323.630726
152.312671,1000,334.85324
178.062216,1000,345.956768
130.146699,1000,357.112295
83.472842,1000,368.192335
50.713028,258,369.476294
3.726313,228,370.601059
32.774529,252,371.874888
123.241736,1000,383.088142
113.933445,1000,394.462298
140.726636,1000,405.641581
143.030786,1000,416.919893
98.753708,1000,428.040669
159.203291,1000,439.222956
-18.201103,243,446.650874
121.151066,1000,457.980281
138.821377,1000,469.116087
166.598984,1000,474.157194
124.864927,1000,485.374442
159.936248,1000,496.524417
123.927686,1000,529.767827
149.340214,1000,541.100074
132.844703,1000,552.271457
138.283972,1000,563.464303
-4.521108,186,570.539515
166.060324,1000,581.730087
134.743451,1000,586.699801
94.638336,1000,598.112597
136.814388,1000,609.191772
99.444784,1000,620.250458
141.829665,1000,631.57873
-19.096723,386,639.612264
100.44487,1000,650.800838
118.690338,1000,662.22361
122.890074,1000,673.294475
138.765666,1000,684.406806
161.003359,1000,695.606746
125.821123,1000,706.674083
143.00126,1000,717.92587
121.87406,1000,730.084303
161.218199,1000,741.277035
120.351885,1000,752.419401
146.442416,1000,763.489478
133.468195,1000,768.453289
150.990276,1000,779.616403
157.928152,1000,790.986937
135.46087,1000,802.112811
137.509291,1000,829.773788
174.367117,1000,841.010205
51.140088,342,849.012207
151.129542,1000,860.060334
118.808825,1000,871.143036
172.161641,1000,882.205674
134.577697,1000,893.265774
146.240454,1000,904.321545
150.499716,1000,915.571192
136.584785,1000,926.719757
115.54613,1000,937.877879
163.303187,1000,942.813799
15.790985,245,950.20294
31.009015,313,951.776183
168.051346,1000,962.912719
189.6377,1000,974.182962
114.674053,1000,985.321679
110.978633,1000,996.422464
132.698337,1000,1007.471615
157.243479,1000,1018.649254
146.988524,1000,1029.749245
155.507436,1000,1041.058569
150.827237,1000,1052.175466
134.471286,1000,1063.21823
45.858471,234,1064.396724
135.089997,1000,1075.512139
29.82662,273,1076.814957
157.825949,1000,1087.870328
174.746816,1000,1112.496649
133.988514,1000,1123.634334
140.296844,1000,1135.054318
162.120626,1000,1146.40543
141.877934,1000,1157.505461
167.812173,1000,1168.868363
163.936693,1000,1180.069158
141.104468,1000,1191.11248
143.001899,1000,1202.288583
131.632321,1000,1213.337481
244.322062,882,1223.884368
258.258471,898,1234.659305
297.207141,562,1237.402726
241.663247,365,1245.330334
173.51928,1000,1256.399571
244.588131,356,1258.144829
227.410319,387,1260.037219
298.701937,379,1268.033404
300.520761,313,1269.584707
273.954367,315,1271.147652
271.632339,443,1279.44445
279.887009,340,1281.120273
261.57847,257,1282.410991
254.286773,287,1290.291876
297.594867,263,1291.66064
289.208185,300,1293.15278
233.12665,307,1294.629921
267.822022,386,1302.742376
303.897842,279,1304.049305
240.703403,280,1305.430831
247.784253,403,1313.587289
254.987516,353,1315.306118
266.840441,277,1316.697302
296.792231,313,1324.395084
246.297614,335,1326.041926
241.449292,271,1327.365123
296.187402,287,1334.930092
309.338562,377,1336.78431
264.54626,293,1338.189451
267.072092,348,1346.565168
289.501709,298,1348.036106
284.370745,279,1349.388912
236.721222,300,1350.912048
280.402866,272,1358.723244
225.471152,374,1360.540345
284.810274,230,1361.672561
238.674262,287,1369.218435
269.251823,333,1370.829954
231.380174,256,1372.131285
272.454282,267,1373.48548
274.863882,222,1380.749937
291.827138,253,1382.02885
260.346934,324,1383.583368
249.52118,306,1391.262512
304.575038,300,1403.359816
273.11311,263,1404.639709
292.034988,259,1406.414356
